,Days to rebalance
0,1999-01-05
1,1999-02-04
2,1999-03-04
3,1999-04-06
4,1999-05-04
5,1999-06-04
6,1999-07-07
7,1999-08-04
8,1999-09-07
9,1999-10-05
10,1999-11-04
11,1999-12-06
12,2000-01-04
13,2000-02-04
14,2000-03-06
15,2000-04-04
16,2000-05-04
17,2000-06-06
18,2000-07-05
19,2000-08-04
20,2000-09-06
21,2000-10-04
22,2000-11-06
23,2000-12-05
24,2001-01-04
25,2001-02-06
26,2001-03-06
27,2001-04-04
28,2001-05-04
29,2001-06-05
30,2001-07-05
31,2001-08-06
32,2001-09-05
33,2001-10-04
34,2001-11-06
35,2001-12-04
36,2002-01-04
37,2002-02-05
38,2002-03-05
39,2002-04-04
40,2002-05-06
41,2002-06-04
42,2002-07-05
43,2002-08-06
44,2002-09-04
45,2002-10-04
46,2002-11-05
47,2002-12-04
48,2003-01-06
49,2003-02-04
50,2003-03-04
51,2003-04-04
52,2003-05-06
53,2003-06-04
54,2003-07-07
55,2003-08-05
56,2003-09-04
57,2003-10-06
58,2003-11-04
59,2003-12-04
60,2004-01-06
61,2004-02-04
62,2004-03-04
63,2004-04-06
64,2004-05-04
65,2004-06-04
66,2004-07-07
67,2004-08-04
68,2004-09-07
69,2004-10-05
70,2004-11-04
71,2004-12-06
72,2005-01-04
73,2005-02-04
74,2005-03-04
75,2005-04-05
76,2005-05-04
77,2005-06-06
78,2005-07-06
79,2005-08-04
80,2005-09-07
81,2005-10-04
82,2005-11-04
83,2005-12-06
84,2006-01-04
85,2006-02-06
86,2006-03-06
87,2006-04-04
88,2006-05-04
89,2006-06-06
90,2006-07-05
91,2006-08-04
92,2006-09-06
93,2006-10-04
94,2006-11-06
95,2006-12-05
96,2007-01-04
97,2007-02-06
98,2007-03-06
99,2007-04-04
100,2007-05-04
101,2007-06-05
102,2007-07-05
103,2007-08-06
104,2007-09-05
105,2007-10-04
106,2007-11-06
107,2007-12-04
108,2008-01-04
109,2008-02-05
110,2008-03-04
111,2008-04-04
112,2008-05-05
113,2008-06-03
114,2008-07-07
115,2008-08-05
116,2008-09-03
117,2008-10-06
118,2008-11-04
119,2008-12-04
120,2009-01-05
121,2009-02-03
122,2009-03-03
123,2009-04-06
124,2009-05-05
125,2009-06-04
126,2009-07-07
127,2009-08-04
128,2009-09-04
129,2009-10-06
130,2009-11-03
131,2009-12-04
132,2010-01-05
133,2010-02-04
134,2010-03-04
135,2010-04-06
136,2010-05-05
137,2010-06-04
138,2010-07-07
139,2010-08-03
140,2010-09-07
141,2010-10-05
142,2010-11-03
143,2010-12-06
144,2011-01-05
145,2011-02-04
146,2011-03-04
147,2011-04-05
148,2011-05-04
149,2011-06-06
150,2011-07-06
151,2011-08-04
152,2011-09-07
153,2011-10-04
154,2011-11-03
155,2011-12-06
156,2012-01-04
157,2012-02-06
158,2012-03-06
159,2012-04-03
160,2012-05-03
161,2012-06-05
162,2012-07-03
163,2012-08-06
164,2012-09-06
165,2012-10-04
166,2012-11-06
167,2012-12-04
168,2013-01-04
169,2013-02-05
170,2013-03-05
171,2013-04-04
172,2013-05-06
173,2013-06-04
174,2013-07-05
175,2013-08-06
176,2013-09-04
177,2013-10-04
178,2013-11-05
179,2013-12-03
180,2014-01-07
181,2014-02-04
182,2014-03-04
183,2014-04-03
184,2014-05-07
185,2014-06-05
186,2014-07-07
187,2014-08-05
188,2014-09-03
189,2014-10-07
190,2014-11-05
191,2014-12-03
192,2015-01-07
193,2015-02-04
194,2015-03-04
195,2015-04-06
196,2015-05-06
197,2015-06-03
198,2015-07-07
199,2015-08-05
200,2015-09-04
201,2015-10-06
202,2015-11-04
203,2015-12-03
204,2016-01-06
205,2016-02-03
206,2016-03-03
207,2016-04-06
208,2016-05-05
209,2016-06-03
210,2016-07-06
211,2016-08-03
212,2016-09-07
213,2016-10-05
214,2016-11-03
215,2016-12-06
216,2017-01-11
217,2017-02-03
218,2017-03-03
219,2017-04-06
220,2017-05-05
221,2017-06-06
222,2017-07-06
223,2017-08-03
224,2017-09-06
225,2017-10-06
226,2017-11-03
227,2017-12-05
228,2018-01-04
229,2018-02-06
230,2018-03-06
231,2018-04-06
232,2018-05-04
233,2018-06-05
234,2018-07-06
235,2018-08-03
236,2018-09-05
237,2018-10-04
238,2018-11-06
239,2018-12-06
240,2019-01-10
241,2019-02-08
242,2019-03-05
243,2019-04-04
244,2019-05-07
245,2019-06-05
246,2019-07-05
247,2019-08-06
248,2019-09-04
249,2019-10-04
250,2019-11-05
251,2019-12-04
252,2020-01-09
253,2020-02-05
254,2020-03-04
255,2020-04-03
256,2020-05-06
257,2020-06-03
258,2020-07-07
259,2020-08-05
260,2020-09-03
261,2020-10-07
262,2020-11-04
263,2020-12-03
264,2021-01-06
265,2021-02-03
266,2021-03-03
267,2021-04-08
268,2021-05-05
269,2021-06-03
270,2021-07-07
271,2021-08-04
272,2021-09-03
273,2021-10-06
274,2021-11-03
275,2021-12-03
276,2022-01-11
277,2022-02-08
278,2022-03-04
279,2022-04-06
280,2022-05-06
281,2022-06-07
282,2022-07-06
283,2022-08-03
284,2022-09-07
285,2022-10-06
286,2022-11-03
287,2022-12-06
288,2023-01-09
289,2023-02-03
290,2023-03-03
291,2023-04-06
292,2023-05-04
293,2023-06-06
294,2023-07-06
295,2023-08-03
296,2023-09-06
297,2023-10-05
298,2023-11-03
299,2023-12-05
