,0
United States,25.32
Japan,4.21
United Kingdom,3.05
Canada,2.13
France,2.77
Switzerland,0.8
Germany,4.05
Australia,1.67
Netherlands,0.99
Denmark,0.39
Sweden,0.58
Spain,1.39
Hong Kong,0.36
Italy,2.0
Singapore,0.46
Finland,0.28
Belgium,0.58
Norway,0.58
Israel,0.52
Ireland,0.53
New Zealand,0.25
Austria,0.47
Portugal,0.25
China,17.86
Taiwan,0.79
India,3.37
Korea,1.66
Brazil,1.91
Saudi Arabia,1.1
South Africa,0.4
Mexico,1.41
Thailand,0.49
Indonesia,1.31
Malaysia,0.4
United Arab Emirates,0.5
Qatar,0.24
Kuwait,0.18
Turkiye,0.9
Philippines,0.4
Poland,0.68
Chile,0.3
Greece,0.22
Peru,0.24
Hungary,0.18
Czechia,0.29
Egypt,0.47
Colombia,0.34
Argentina,0.63
Russia,2.23
